id:navn
1:Estetiske fag, kunst- og musikkfag
2:Fiskeri-, husdyr- og landbruksfag
3:Historie, religion, idéfag
4:Hotell- og reiselivsfag
5:Idrettsfag, kroppsøving og friluftsliv
6:Informasjonsteknologi og informatikk
7:Jus
8:Lærer- og lektorutdanning
9:Matematikk og naturfag
10:Mediefag, bibliotekfag og journalistfag
11:Medisin, odontologi, helse- og sosialfag
12:Pedagogiske fag
13:Samfunnsfag, psykologi
14:Språk, litteratur
15:Teknologi, ingeniørfag og arkitektur
16:Økonomi, marked og administrasjon
17:Annet fagområde
